id;count;ax44
071087919;8.000;0090
071087955;33.000;0090
071088009;2.000;0090
071088010;9.000;0090
071088025;1.000;0090
071088029;1.000;0090
071088101;1.000;0090
071088174;3.000;0090
071088209;1.000;0090
071088221;3.000;0090
071088272;3.000;0090
071088275;4.000;0090
071088276;3.000;0090
071088280;3.000;0090
071088291;4.000;0090
071088297;10.000;0090
071088298;5.000;0090
071088300;4.000;0090
071088312;7.000;0090
071088313;9.000;0090
071088324;2.000;0090
071088380;10.000;0090
071088388;3.000;0090
071088391;7.000;0090
071088428;1.000;0090
071088440;22.000;0090
071088493;1.000;0090
071088651;1.000;0090
071088652;2.000;0090
071088656;1.000;0090
071088660;13.000;0090
071088683;2.000;0090
071088684;3.000;0090
071088693;2.000;0090
071088695;1.000;0090
071088700;6.000;0090
071088856;1.000;0090
071088898;48.000;0090
071088903;1.000;0090
071088930;15.000;0090
071088941;15.000;0090
071088942;39.000;0090
071088943;39.000;0090
071088944;1.000;0090
071088945;8.000;0090
071088946;15.000;0090
071088947;18.000;0090
071088948;45.000;0090
071088949;43.000;0090
071088950;40.000;0090
071088987;3.000;0090
071088988;1.000;0090
071088990;1.000;0090
071089122;1.000;0090
071089137;5.000;0090
071089139;52.000;0090
071089211;11.000;0090
071089212;26.000;0090
071089215;2.000;0090
071089317;3.000;0090
071089318;7.000;0090
071089422;2.000;0090
071089423;2.000;0090
071089430;4.000;0090
071089432;1.000;0090
071089433;1.000;0090
071089532;22.000;0090
071089558;2.000;0090
071089601;1.000;0090
071089786;9.000;0090
071089787;1.000;0090
071089792;2.000;0090
071089803;1.000;0090
071089944;16.000;0090
071090066;1.000;0090
071090101;3.000;0090
071090117;1.000;0090
071090167;14.000;0090
071090168;19.000;0090
071090169;11.000;0090
071090170;2.000;0090
071090201;3.000;0090
071090228;3.000;0090
071090393;1.000;0090
071090405;3.000;0090
071090412;13.000;0090
071090444;7.000;0090
071090523;20.000;0090
071090548;2.000;0090
071090673;9.000;0090
071090676;23.000;0090
071090680;45.000;0090
071090683;1.000;0090
071090684;1.000;0090
071090736;5.000;0090
