brand_id;brand_name
5355421;INCTEK
5355422;INDESIT
5355423;INDIGO
5355424;INFINITY
5355425;INFOCUS
5355426;INFOLIGHT
5355427;INFOTECS
5355428;INSMAT
5355429;INSPECTOR
5355430;INSTALL-TECH
5355431;INSTAPURE
5355432;INTEGRAL
5355433;INTEL
5355434;INTENS0
5355435;INTER DESIGN
5355436;INTER-STEP
5355437;INTERSKOL
5355438;INVISIO
5355439;IOMEGA
5355440;IPPON
5355441;IQ
5355442;IQUA
5355443;IRBIS
5355444;IRIT
5355445;IRIVER
5355446;IRU
5355447;IS
5355448;ISKIN
5355449;ITE MEDIA
5355450;ITEC
5355451;ITOSS
5355452;ITOY
5355453;IVOLGA
5355454;IXTONE
5355455;IZZY POWER
5355456;JABRA
5355457;JAGUAR
5355458;JAMO
5355459;JANOME
5355460;JASMINE
5355461;JAZZ HIPSTER
5355462;JBL
5355463;JEANS
5355464;JEEP
5355465;JET
5355466;JET TEC
5355467;JET!
5355468;JET.A
5355469;JETBALANCE
5355470;JH
5355471;JIIL
5355472;JIMI
5355473;JIVO
5355474;JJ-CONNECT
5355475;JMLAB
5355476;JOHNSON&JOHNSON
5355477;JONLITE
5355478;JPW
5355479;JUKI
5355480;JURA
5355481;JUST-RACKS
5355482;JVC
5355483;K&M
5355484;K-SYSTEMS
5355485;KAISER
5355486;KALITVA
5355487;KAMELEON
5355488;KARAPUZ
5355489;KARCHER
5355490;KARMEN VIDEO
5355491;KASPERSKY
5355492;KATA
5355493;KATO
5355494;KEF
5355495;KENSINGTON
5355496;KENTATSU
5355497;KENWOOD
5355498;KETER
5355499;KGB
5355500;KICX
5355501;KIMBO
5355502;KING COMPANY
5355503;KINGSTON
5355504;KINZO
5355505;KISS
5355506;KLIPSCH
5355507;KODA
5355508;KODAK
5355509;KODOTEL
5355510;KOEI
5355511;KOH-I-NOOR
5355512;KOMP
5355513;KONAMI
5355514;KONICA
5355515;KONICAMINOLTA
5355516;KONIKA
5355517;KONKA
5355518;KONOOS
5355519;KORONA
5355520;KORSA
5355521;KOSS
5355522;KOVEA
5355523;KRAFTOOL
5355524;KRAFTWAY
5355525;KRAMER
5355526;KROFT
5355527;KRONA
5355528;KRUPS
5355529;KRUSELL
5355530;KRUSSEL
5355531;KS
5355532;KULINAR
5355533;KUSTOM
5355534;KVAZAR-MICRO
5355535;KWORLD
5355536;KYM LUX
5355537;KYOCERA
5355538;LA BELLA
5355539;LABTEC
5355540;LACIE
5355541;LACONA
5355542;LADA
5355543;LAGODA
5355544;LAGOSTINA
5355545;LAMARQUE
5355546;LANDER
5355547;LANDY STAR
5355548;LANGUAGE TEACHER
5355549;LANZAR
5355550;LARETTI
5355551;LASER LINE
5355552;LAUTSENN
5355553;LAVA VISION
5355554;LAVAZZA
5355555;LAVOR PRO
5355556;LBOOK
5355557;LC
5355558;LEADER
5355559;LEIFHEIT
5355560;LENOR
5355561;LENOVO
5355562;LENSPEN
5355563;LEX
5355564;LEXAND
5355565;LEXAR
5355566;LEXMARK
5355567;LG
5355568;LIBERTON
5355569;LIEBHERR
5355570;LIFE
5355571;LIGHTING AUDIO
5355572;LINK BITS
5355573;LITE-ON
5355574;LIVAL
5355575;LIZARD
5355576;LKT
5355577;LOCK&LOCK
5355578;LOEWE
5355579;LOGIC3
5355580;LOGITECH
5355581;LOMOND
5355582;LONDON
5355583;LOUMAN
5355584;LOWEPRO
5355585;LUARDI
5355586;LUMENE
5355587;LUMENFLON
5355588;LUMINARC
5355589;LUXUS
